What is your name?,What is your gender?,What was your course in UG?,What is your UG specialization? Major Subject (Eg; Mathematics),What are your interests?,What are your skills ? (Select multiple if necessary),What was the average CGPA or Percentage obtained in under graduation?,Did you do any certification courses additionally?,"If yes, please specify your certificate course title.",Are you working?,"If yes, then what is/was your first Job title in your current field of work? If not applicable, write NA.","Have you done masters after undergraduation? If yes, mention your field of masters.(Eg; Masters in Mathematics)"
Wulan Sari,Female,Sastra Inggris,Linguistik,"Pengajaran, Pendidikan, TEFL","Mengajar, Kurikulum, TOEFL",8.77,No,NA,Yes,Interpreter,NA
Leni Susanti,Male,Perkapalan,Sistem Perkapalan,"Offshore, Migas, Industri Maritim","Solidworks, ANSYS, Analisis Struktur",8.06,No,NA,No,NA,
Mohammad Rizki,Male,Ilmu Komunikasi,Komunikasi Digital,"Public Relations, Branding, Komunikasi","Penulisan, Editing, Wawancara",9.46,No,NA,No,,NA
Fitri Handayani,Male,Ilmu Komunikasi,Jurnalistik,"Digital Marketing, Social Media, Konten","Social Media, Content Creation, SEO",7.96,Yes,PR Certification,No,NA,NA
Nita Anggraini,Male,B.Tech,Electronics,"Software Engineering, Cloud, DevOps","TensorFlow, PyTorch, Machine Learning",8.09,No,,No,NA,Masters in Computer Science
Shinta Dewi,Female,BA,Political Science,"Writing, Communication, Media","MS Office, Content Writing, SEO",6.76,No,,Yes,Journalist,NA
Budi Santoso,Female,B.Com,Business Studies,"Finance, Accounting, Business","Financial Modeling, Excel, SAP",6.33,Yes,Tally Certification,No,NA,Masters in Finance
Lisa Amelia,Male,B.Tech,Civil,"Software Engineering, Cloud, DevOps","Python, Java, C++, SQL",6.19,No,NA,Yes,IoT Developer,NA
Wulan Sari,Male,Sistem Informasi,E-Business,"Database, Data Management, BI","SQL, SAP, Business Analysis, Excel",8.43,No,NA,Yes,System Analyst,Masters in Information Systems
Citra Dewi,Female,Sastra Inggris,Penerjemahan,"Pengajaran, Pendidikan, TEFL","Content Writing, Copywriting, Editing",6.37,Yes,IELTS 7.0+,Yes,Content Writer,MA TEFL
Budi Santoso,Female,Pertanian,Agribisnis,"Teknologi Pertanian, Smart Farming, IoT","Drone Pertanian, Smart Farming, IoT",6.44,Yes,NA,Yes,Smart Farming Specialist,NA
Jeni Kurniawan,Male,Sastra Inggris,Linguistik,"Pengajaran, Pendidikan, TEFL","Penerjemahan, Bahasa Inggris, Riset",8.15,No,NA,Yes,Interpreter,NA
Sari Indah,Female,Ekonomi Pembangunan,Ekonomi Regional,"Perdagangan Internasional, Ekspor Impor","Ekonometrika, SPSS, Eviews, Analisis",8.47,No,NA,No,NA,Masters in Economics
Krisna Bayu,Male,BA,History,"Writing, Communication, Media","Public Speaking, Leadership, Teamwork",6.42,Yes,,Yes,Content Writer,Masters in Journalism
Andi Pratama,Male,Ekonomi Pembangunan,Ekonomi Moneter,"Perdagangan Internasional, Ekspor Impor","Ekonometrika, SPSS, Eviews, Analisis",7.45,No,NA,Yes,Peneliti Ekonomi,Magister Ekonomi
Agus Salim,Female,Desain Komunikasi Visual,Fotografi,"Animasi, Motion Graphics, Video","Figma, Adobe XD, Sketch, Prototyping",7.55,Yes,Google UX Design,Yes,Creative Director,NA
Fara Aulia,Female,Psikologi,Psikologi Pendidikan,"HR, Rekrutmen, Pengembangan SDM","Konseling, Wawancara, Empati",7.31,No,NA,No,NA,Magister Psikologi
Sari Indah,Male,Pendidikan,PGSD,"Mengajar, Kurikulum, Pendidikan","Bimbingan, Konseling, Komunikasi",6.95,No,NA,Yes,Dosen,NA
Taufik Hidayat,Male,Teknik Industri,Logistik,"Manufaktur, Produksi, Lean Manufacturing","Analisis Data, Minitab, SPSS",9.11,No,NA,No,NA,NA
Yogi Permana,Male,B.Com,Economics,"Marketing, Sales, Business","MS Excel, PowerPoint, Business Analysis",6.77,Yes,Tally Certification,No,NA,NA
Hesti Ratnasari,Female,Peternakan,Kesehatan Ternak,"Budidaya Ternak, Produksi, Pemuliaan","Manajemen Ternak, Kesehatan Hewan, Vaksinasi",7.93,Yes,Sertifikasi Penyuluh Peternakan,No,NA,NA
Nita Anggraini,Male,Farmasi,Bioteknologi Farmasi,"Penelitian, Farmakologi, Drug Discovery","Compounding, Dispensing, Farmakologi",6.99,Yes,,No,NA,NA
Ulfah Rahmawati,Female,Kedokteran,Spesialis Anak,"Bedah, Operasi, Spesialis","Tindakan Medis, Jahit Luka, Infus",8.7,No,NA,No,NA,Masters in Public Health
Vina Melati,Female,BCA,Information Technology,"Programming, Web Development, Software","C++, Data Structures, Algorithms",7.6,Yes,NA,Yes,Software Developer,MCA
Ivan Gunawan,Male,Teknik Elektro,Elektronika,"Telekomunikasi, Jaringan, RF","PLC, SCADA, Otomasi, Siemens",7.68,Yes,,Yes,IoT Engineer,NA
Hana Sari,Female,Teknik Elektro,Kontrol dan Instrumentasi,"Elektronika, Embedded Systems, IoT","Arduino, Raspberry Pi, C++, IoT",7.3,Yes,Sertifikasi BNSP Elektro,Yes,Automation Engineer,Masters in Electrical Engineering
Shinta Dewi,Male,Perkapalan,Teknik Sistem Perkapalan,"Desain Kapal, Konstruksi, Naval Architecture","Solidworks, ANSYS, Analisis Struktur",9.28,Yes,,Yes,Surveyor Kapal,NA
Cahyo Wibowo,Male,Perkapalan,Teknik Perkapalan,"Offshore, Migas, Industri Maritim","AutoCAD, Maxsurf, Ship Design",9.63,Yes,STCW,Yes,Marine Engineer,Masters in Marine Engineering
Mohammad Rizki,Male,Akuntansi,Perpajakan,"Audit, Compliance, Internal Control","SAP, Accurate, Jurnal Akuntansi",8.38,Yes,NA,Yes,Akuntan,MBA Keuangan
Bella Safira,Male,Peternakan,Produksi Ternak,"Budidaya Ternak, Produksi, Pemuliaan","Formulasi Pakan, Nutrisi, Lab",7.29,Yes,Halal Auditor,Yes,Peneliti Ternak,
Nina Kusuma,Male,Manajemen,Manajemen Pemasaran,"Keuangan, Investasi, Bisnis","MS Excel, Business Analysis, PowerPoint",7.52,Yes,CFA Level 1,No,NA,NA
Nina Kusuma,Female,Ekonomi Pembangunan,Perencanaan Pembangunan,"Ekonomi, Kebijakan, Pembangunan","MS Excel, Statistik, Data Analysis",8.93,No,NA,No,NA,NA
Budi Santoso,Male,Perkapalan,Teknik Sistem Perkapalan,"Sistem Perkapalan, Mekanikal, Elektrikal","Solidworks, ANSYS, Analisis Struktur",8.86,No,NA,Yes,Surveyor Kapal,Masters in Marine Engineering
Jeni Kurniawan,Female,B.Tech,Mechanical,"IoT, Embedded Systems, Robotics","AWS, Docker, Kubernetes, DevOps",8.78,Yes,AWS Solutions Architect,Yes,,Masters in AI
Eko Wahyudi,Male,Farmasi,Farmasi Klinis,"Industri Farmasi, Produksi, QC","Penelitian, Laboratorium, Analisis",8.27,No,NA,No,NA,
Nina Kusuma,Male,Sastra Inggris,Sastra,"Penulisan, Sastra, Kreatif","Content Writing, Copywriting, Editing",6.31,Yes,NA,Yes,Editor,Masters in Translation
Budi Santoso,Male,Desain Komunikasi Visual,Desain Grafis,"Desain Grafis, Branding, Visual","After Effects, Premiere Pro, Animasi",8.42,Yes,,No,NA,Masters in Design
Cahyo Wibowo,Female,B.Tech,Computer Science,"IoT, Embedded Systems, Robotics","AWS, Docker, Kubernetes, DevOps",9.78,Yes,Google Cloud Professional,No,NA,NA
Sari Indah,Female,Pertanian,Ilmu Tanah,"Pertanian, Budidaya, Agronomi","Budidaya Tanaman, Analisis Tanah, GIS",7.91,Yes,NA,No,NA,NA
Sari Indah,Male,Perkapalan,Konstruksi Kapal,"Sistem Perkapalan, Mekanikal, Elektrikal","Solidworks, ANSYS, Analisis Struktur",6.15,No,NA,No,,Masters in Naval Architecture
Yoga Aditya,Female,Psikologi,Psikologi Pendidikan,"Konseling, Terapi, Kesehatan Mental","Psikotes, Asesmen, SPSS",8.82,No,NA,Yes,Peneliti,NA
Galih Purnomo,Male,Hukum,Hukum Bisnis,"Hukum Bisnis, Kontrak, Korporasi","MS Word, Legal Research, Presentasi",6.17,No,NA,Yes,Legal Consultant,
Dian Rahayu,Female,Sastra Inggris,Sastra,"Penerjemahan, Bahasa, Linguistik","Mengajar, Kurikulum, TOEFL",8.11,No,,No,,MA TEFL
Zara Nabila,Female,B.Tech,Civil,"Software Engineering, Cloud, DevOps","AWS, Docker, Kubernetes, DevOps",9.57,Yes,TensorFlow Developer,No,NA,NA
Tegar Wicaksono,Male,Sistem Informasi,Sistem Informasi Bisnis,"Database, Data Management, BI","Python, Tableau, Power BI, SQL",6.9,Yes,PMP,No,NA,NA
Ulfah Rahmawati,Female,Peternakan,Kesehatan Ternak,"Nutrisi, Pakan Ternak, Formulasi","Manajemen Ternak, Kesehatan Hewan, Vaksinasi",6.07,No,NA,Yes,Quality Control Produk Ternak,NA
Dita Maharani,Male,B.Sc,Computer Science,"Data Science, Analytics, AI","Research, Lab Skills, Report Writing",7.44,No,NA,No,,NA
Ulfah Rahmawati,Female,Psikologi,Psikologi Pendidikan,"Penelitian, Asesmen, Psikometri","HR Management, Rekrutmen, Training",7.1,Yes,Sertifikasi Psikolog,Yes,Peneliti,NA
Krisna Bayu,Male,Pendidikan,Pendidikan Bahasa,"Teknologi Pendidikan, E-Learning","Mengajar, RPP, Kurikulum Merdeka",7.68,Yes,Kurikulum Merdeka,No,NA,NA
Citra Dewi,Female,Desain Komunikasi Visual,Desain Grafis,"UI/UX, Product Design, Prototyping","Adobe Illustrator, Photoshop, InDesign",6.72,Yes,Google UX Design,No,NA,MFA Design
Oscar Firmansyah,Male,Kelautan,Ilmu Kelautan,"Oseanografi, Penelitian Laut, Ekspedisi","Diving, Survei Laut, GIS, QGIS",8.56,No,NA,No,NA,Masters in Marine Science
Ragil Saputro,Male,Pertanian,Hortikultura,"Pertanian, Budidaya, Agronomi","Budidaya Tanaman, Analisis Tanah, GIS",7.42,No,NA,Yes,Agronomis,NA
Nita Anggraini,Female,Perkapalan,Konstruksi Kapal,"Sistem Perkapalan, Mekanikal, Elektrikal","AutoCAD, Maxsurf, Ship Design",7.71,No,NA,Yes,Naval Architect,
Vina Melati,Female,B.Tech,Computer Science,"IoT, Embedded Systems, Robotics","Python, Java, C++, SQL",9.27,Yes,Google Cloud Professional,No,NA,NA
Miko Prasetyo,Male,Kedokteran,Spesialis Bedah,"Klinik, Pasien, Diagnosis","Penelitian, Statistik Medis, SPSS",8.97,No,,No,,NA
Hana Sari,Female,B.Sc,Mathematics,"Physics, Research, Innovation","Data Analysis, Machine Learning, SQL",6.84,No,NA,No,NA,NA
Mohammad Rizki,Male,Teknik Elektro,Tenaga Listrik,"Elektronika, Embedded Systems, IoT","PLC, SCADA, Otomasi, Siemens",8.29,Yes,Sertifikasi BNSP Elektro,Yes,Telecom Engineer,
Shinta Dewi,Female,BCA,Computer Applications,"Cybersecurity, Networking, Cloud","C++, Data Structures, Algorithms",7.84,Yes,Google Android Developer,Yes,Data Analyst,NA
Citra Dewi,Male,Kelautan,Ilmu Kelautan,"Teknologi Kelautan, Survei, Remote Sensing","Diving, Survei Laut, GIS, QGIS",7.54,Yes,PADI Dive Master,Yes,Oseanografer,
Budi Santoso,Female,Perkapalan,Sistem Perkapalan,"Offshore, Migas, Industri Maritim","Solidworks, ANSYS, Analisis Struktur",6.27,Yes,Sertifikasi IMO,Yes,Marine Engineer,NA
Jeni Kurniawan,Male,Pendidikan,PGSD,"Teknologi Pendidikan, E-Learning","Mengajar, RPP, Kurikulum Merdeka",8.05,No,NA,No,NA,Masters in Education
Hana Sari,Male,BCA,Information Technology,"Cybersecurity, Networking, Cloud","Python, Java, SQL",9.12,No,NA,Yes,Data Analyst,NA
Hesti Ratnasari,Male,Kelautan,Teknologi Kelautan,"Oseanografi, Penelitian Laut, Ekspedisi","Diving, Survei Laut, GIS, QGIS",6.84,No,NA,Yes,Oseanografer,Masters in Oceanography
Galih Purnomo,Female,BCA,Software Development,"Cybersecurity, Networking, Cloud","C++, Data Structures, Algorithms",6.71,No,NA,No,NA,Masters in Computer Science
Zara Nabila,Female,Manajemen,Manajemen Keuangan,"SDM, Organisasi, Leadership","Marketing, Branding, Social Media",8.91,No,,Yes,Product Manager,NA
Krisna Bayu,Male,Pertanian,Agribisnis,"Agribisnis, Wirausaha, Pasar Tani","Drone Pertanian, Smart Farming, IoT",6.36,Yes,Smart Farming Cert,Yes,Penyuluh Pertanian,Masters in Agronomy
Yogi Permana,Male,Kedokteran,Spesialis Bedah,"Penelitian Medis, Farmakologi","Penelitian, Statistik Medis, SPSS",8.62,Yes,Sertifikasi Spesialis,Yes,Dokter Puskesmas,NA
Budi Santoso,Female,Teknik Elektro,Tenaga Listrik,"Telekomunikasi, Jaringan, RF","Arduino, Raspberry Pi, C++, IoT",7.18,Yes,Cisco CCNA,No,NA,NA
Jeni Kurniawan,Male,Peternakan,Teknologi Hasil Ternak,"Budidaya Ternak, Produksi, Pemuliaan","Formulasi Pakan, Nutrisi, Lab",9.26,Yes,,No,NA,NA
Leni Susanti,Female,Sistem Informasi,Manajemen Sistem Informasi,"Database, Data Management, BI","PHP, MySQL, Web Development",6.98,No,NA,No,,NA
Jeni Kurniawan,Female,B.Com,Business Studies,"Finance, Accounting, Business","Financial Modeling, Excel, SAP",8.91,Yes,CFA Level 1,No,NA,NA
Yogi Permana,Female,Akuntansi,Audit,"Keuangan, Investasi, Pasar Modal","SAP, Accurate, Jurnal Akuntansi",6.87,No,NA,No,NA,Masters in Accounting
Andi Pratama,Female,B.Com,Economics,"Marketing, Sales, Business","MS Excel, PowerPoint, Business Analysis",6.22,Yes,,No,NA,Masters in Finance
Dian Rahayu,Male,B.Com,Business Studies,"Banking, Finance, Economics","Tally, MS Excel, Accounting",8.14,No,,Yes,Business Analyst,Masters in Accounting
Hesti Ratnasari,Male,Pertanian,Hortikultura,"Teknologi Pertanian, Smart Farming, IoT","Agribisnis, Manajemen Usaha Tani",8.19,Yes,,Yes,Agribisnis Manager,NA
Zara Nabila,Male,Kedokteran,Kedokteran Umum,"Bedah, Operasi, Spesialis","Tindakan Medis, Jahit Luka, Infus",9.57,No,,No,,NA
Fara Aulia,Female,Kelautan,Teknologi Kelautan,"Oseanografi, Penelitian Laut, Ekspedisi","Diving, Survei Laut, GIS, QGIS",8.04,Yes,,Yes,Marine Surveyor,NA
Fitri Handayani,Male,Psikologi,Psikologi Pendidikan,"HR, Rekrutmen, Pengembangan SDM","HR Management, Rekrutmen, Training",9.48,Yes,Konselor Profesional,No,,
Ragil Saputro,Male,Manajemen,Manajemen Bisnis,"SDM, Organisasi, Leadership","MS Excel, Business Analysis, PowerPoint",6.0,Yes,,No,NA,MM Keuangan
Yoga Aditya,Male,Teknik Industri,Manajemen Operasi,"Manufaktur, Produksi, Lean Manufacturing","MS Project, ERP, SAP",6.27,No,NA,No,NA,NA
Ulfa Nuraini,Male,Ekonomi Pembangunan,Ekonomi Regional,"Moneter, Perbankan, Keuangan Publik","Kebijakan Publik, Riset, Laporan",7.79,Yes,NA,No,NA,NA
Gilang Ramadhan,Female,Hukum,Hukum Internasional,"Hukum Internasional, Diplomasi","Legal Drafting, Analisis Hukum, Riset",9.15,No,,No,NA,Masters in Law
Leni Susanti,Male,Sastra Inggris,Linguistik,"Penulisan, Sastra, Kreatif","Penerjemahan, Bahasa Inggris, Riset",6.91,No,NA,Yes,Interpreter,NA
Cahyo Wibowo,Male,Hubungan Internasional,Politik Internasional,"Diplomasi, Politik Luar Negeri, Negosiasi","Komunikasi, Presentasi, Diplomasi",7.25,Yes,,No,NA,NA
Budi Santoso,Female,Kelautan,Teknologi Kelautan,"Konservasi Laut, Ekosistem, Terumbu Karang","Penelitian, Lab, Sampling, Analisis Data",9.34,Yes,NA,No,NA,NA
Yogi Permana,Male,Pendidikan,Pendidikan Matematika,"Bimbingan Konseling, Psikologi Pendidikan","Mengajar, RPP, Kurikulum Merdeka",7.7,Yes,Sertifikasi Guru,Yes,Konselor Sekolah,M.Pd
Qirana Putri,Female,Peternakan,Produksi Ternak,"Nutrisi, Pakan Ternak, Formulasi","Pengolahan Daging, Susu, Telur",9.36,Yes,NA,No,NA,NA
Lisa Amelia,Male,Perkapalan,Sistem Perkapalan,"Sistem Perkapalan, Mekanikal, Elektrikal","Marine Engineering, Pemeliharaan Kapal",7.47,No,NA,Yes,Surveyor Kapal,NA
Budi Santoso,Male,Farmasi,Farmasi Industri,"Farmasi Klinis, Obat, Pasien","QC, QA, GMP, HPLC",9.13,Yes,NA,No,NA,NA
Nita Anggraini,Male,Kelautan,Ilmu Kelautan,"Konservasi Laut, Ekosistem, Terumbu Karang","Remote Sensing, Citra Satelit, Analisis",7.63,No,NA,Yes,Marine Surveyor,Masters in Oceanography
Yoga Aditya,Female,Ilmu Komunikasi,Public Relations,"Digital Marketing, Social Media, Konten","Social Media, Content Creation, SEO",6.65,No,NA,No,NA,
Qirana Putri,Female,Pertanian,Hortikultura,"Teknologi Pertanian, Smart Farming, IoT","Drone Pertanian, Smart Farming, IoT",7.72,Yes,NA,No,NA,Magister Pertanian
Citra Dewi,Female,Kelautan,Ilmu Kelautan,"Konservasi Laut, Ekosistem, Terumbu Karang","Penelitian, Lab, Sampling, Analisis Data",6.67,Yes,Remote Sensing Cert,Yes,Konsultan Lingkungan Laut,Masters in Oceanography
Ragil Saputro,Female,Desain Komunikasi Visual,Fotografi,"Desain Grafis, Branding, Visual","Adobe Illustrator, Photoshop, InDesign",8.36,Yes,Figma Certification,Yes,Motion Designer,NA
Leni Susanti,Female,Ilmu Komunikasi,Public Relations,"Jurnalistik, Media, Penulisan Berita","Public Speaking, Media Relations, Canva",8.89,No,NA,Yes,Public Relations Officer,MM Marketing Communication
Ivan Gunawan,Male,Akuntansi,Perpajakan,"Audit, Compliance, Internal Control","SAP, Accurate, Jurnal Akuntansi",6.94,No,NA,Yes,Cost Accountant,NA
Yoga Aditya,Male,Desain Komunikasi Visual,Fotografi,"Desain Grafis, Branding, Visual","Figma, Adobe XD, Sketch, Prototyping",9.31,Yes,,No,NA,NA
Jeni Kurniawan,Female,B.Tech,Electronics,"AI, Machine Learning, Deep Learning","Python, Java, C++, SQL",9.71,No,NA,No,NA,
Wulan Sari,Female,Desain Komunikasi Visual,Desain UI/UX,"UI/UX, Product Design, Prototyping","Adobe Illustrator, Photoshop, InDesign",6.03,No,NA,Yes,Visual Artist,Masters in Design
Hesti Ratnasari,Female,Akuntansi,Akuntansi Manajemen,"Audit, Compliance, Internal Control","SAP, Accurate, Jurnal Akuntansi",6.31,No,,Yes,Financial Controller,NA
Mohammad Rizki,Male,Desain Komunikasi Visual,Ilustrasi,"Animasi, Motion Graphics, Video","Adobe Illustrator, Photoshop, InDesign",7.28,Yes,NA,No,NA,Masters in UX
Nita Anggraini,Female,B.Com,Commerce,"Banking, Finance, Economics","Financial Modeling, Excel, SAP",8.81,No,NA,Yes,Accountant,NA
Shinta Dewi,Female,B.Tech,Civil,"Software Engineering, Cloud, DevOps","AWS, Docker, Kubernetes, DevOps",8.86,Yes,,Yes,ML Engineer,NA
Wahyu Nugroho,Female,Perkapalan,Sistem Perkapalan,"Desain Kapal, Konstruksi, Naval Architecture","Solidworks, ANSYS, Analisis Struktur",8.06,No,NA,No,NA,Magister Teknik Perkapalan
Cahyo Wibowo,Female,Perkapalan,Konstruksi Kapal,"Sistem Perkapalan, Mekanikal, Elektrikal","AutoCAD, Maxsurf, Ship Design",6.51,No,NA,No,NA,NA
Ulfa Nuraini,Female,Teknik Industri,Manajemen Operasi,"Quality Control, Six Sigma, Kaizen","AutoCAD, Visio, Lean Six Sigma",7.1,Yes,,No,NA,
Citra Dewi,Male,BCA,Information Technology,"Data Science, AI, Machine Learning","C++, Data Structures, Algorithms",7.26,Yes,Python Certification,Yes,,
Evan Setiawan,Male,Desain Komunikasi Visual,Fotografi,"Desain Grafis, Branding, Visual","After Effects, Premiere Pro, Animasi",8.22,Yes,Adobe Certified,No,NA,NA
Leni Susanti,Female,Sistem Informasi,Manajemen Sistem Informasi,"Database, Data Management, BI","PHP, MySQL, Web Development",9.66,Yes,Oracle Database,No,NA,NA
Andi Pratama,Male,Kelautan,Konservasi Sumber Daya Laut,"Teknologi Kelautan, Survei, Remote Sensing","Penelitian, Lab, Sampling, Analisis Data",8.53,No,NA,No,NA,Masters in Marine Science
Gilang Ramadhan,Male,Farmasi,Farmasi Industri,"Farmasi Klinis, Obat, Pasien","Compounding, Dispensing, Farmakologi",7.16,Yes,STRA Apoteker,No,,
Agus Salim,Female,Psikologi,Psikologi Sosial,"Konseling, Terapi, Kesehatan Mental","Konseling, Wawancara, Empati",8.8,No,NA,No,NA,Masters in Counseling
Dita Maharani,Male,Peternakan,Nutrisi Ternak,"Nutrisi, Pakan Ternak, Formulasi","Formulasi Pakan, Nutrisi, Lab",7.58,No,NA,No,NA,NA
Ulfa Nuraini,Male,BCA,Software Development,"Programming, Web Development, Software","C++, Data Structures, Algorithms",9.2,No,NA,No,NA,Masters in Computer Science
Hana Sari,Female,Ilmu Komunikasi,Public Relations,"Jurnalistik, Media, Penulisan Berita","Public Speaking, Media Relations, Canva",8.41,Yes,NA,Yes,Copywriter,Masters in Communication
Nita Anggraini,Male,Ekonomi Pembangunan,Perencanaan Pembangunan,"Ekonomi, Kebijakan, Pembangunan","Ekonometrika, SPSS, Eviews, Analisis",8.56,No,NA,Yes,Perencana Pembangunan,Magister Ekonomi
Putri Ayu,Male,Perikanan,Teknologi Hasil Perikanan,"Manajemen Sumber Daya, Konservasi","Pengolahan Ikan, HACCP, Food Safety",6.91,Yes,HACCP Certification,No,NA,NA
Krisna Bayu,Female,B.Com,Business Studies,"Marketing, Sales, Business","Financial Modeling, Excel, SAP",8.84,No,NA,Yes,Financial Analyst,NA
Lisa Amelia,Male,B.Com,Business Studies,"Finance, Accounting, Business","Tally, MS Excel, Accounting",6.19,Yes,NA,No,NA,MBA Finance
Jeni Kurniawan,Male,Ekonomi Pembangunan,Ekonomi Regional,"Ekonomi, Kebijakan, Pembangunan","Ekonometrika, SPSS, Eviews, Analisis",8.84,Yes,Sertifikasi Perencana,No,NA,
Lisa Amelia,Male,Akuntansi,Akuntansi Keuangan,"Audit, Compliance, Internal Control","Perpajakan, e-SPT, Brevet",7.76,No,NA,No,NA,NA
Qirana Putri,Female,Teknik Industri,Manajemen Operasi,"Manufaktur, Produksi, Lean Manufacturing","Analisis Data, Minitab, SPSS",7.93,Yes,Lean Six Sigma Green Belt,Yes,Industrial Engineer,NA
Krisna Bayu,Female,B.Sc,Mathematics,"Data Science, Analytics, AI","Python, R, MATLAB, Statistics",7.28,Yes,R Programming,Yes,Data Scientist,Masters in Physics
Qirana Putri,Male,Teknik Industri,Teknik Produksi,"Supply Chain, Logistik, Operasional","AutoCAD, Visio, Lean Six Sigma",7.72,Yes,Lean Six Sigma Green Belt,Yes,,NA
Fitri Handayani,Male,Sastra Inggris,Sastra,"Pengajaran, Pendidikan, TEFL","Penerjemahan, Bahasa Inggris, Riset",8.22,Yes,TOEFL 600+,Yes,Guru Bahasa Inggris,NA
Miko Prasetyo,Male,B.Tech,Computer Science,"Software Engineering, Cloud, DevOps","TensorFlow, PyTorch, Machine Learning",7.57,Yes,,Yes,Software Engineer,NA
Wulan Sari,Female,Pendidikan,Pendidikan Bahasa,"Mengajar, Kurikulum, Pendidikan","E-Learning, LMS, Canva, Presentasi",8.89,Yes,Sertifikasi Guru,No,NA,
Dita Maharani,Female,Manajemen,Manajemen Bisnis,"Bisnis, Pemasaran, Strategi","Marketing, Branding, Social Media",6.62,Yes,CFA Level 1,Yes,Product Manager,NA
Krisna Bayu,Female,B.Com,Commerce,"Finance, Accounting, Business","Financial Modeling, Excel, SAP",7.0,Yes,Tally Certification,Yes,Business Analyst,
Vino Pratama,Male,Kelautan,Oseanografi,"Teknologi Kelautan, Survei, Remote Sensing","Penelitian, Lab, Sampling, Analisis Data",8.05,No,NA,Yes,Konservasi Spesialis,NA
Hana Sari,Male,Ilmu Komunikasi,Periklanan,"Jurnalistik, Media, Penulisan Berita","Public Speaking, Media Relations, Canva",9.27,No,NA,No,NA,NA
Qori Annisa,Male,B.Com,Economics,"Finance, Accounting, Business","Tally, MS Excel, Accounting",6.49,No,NA,Yes,Tax Consultant,Masters in Accounting
Dian Rahayu,Male,Hukum,HTN,"Hukum Internasional, Diplomasi","Legal Drafting, Analisis Hukum, Riset",7.51,Yes,NA,No,NA,NA
Gilang Ramadhan,Female,Pertanian,Ilmu Tanah,"Agribisnis, Wirausaha, Pasar Tani","Budidaya Tanaman, Analisis Tanah, GIS",8.9,Yes,,No,,Magister Pertanian
Fara Aulia,Female,Sistem Informasi,E-Business,"Database, Data Management, BI","Python, Tableau, Power BI, SQL",8.3,No,NA,No,NA,NA
Qori Annisa,Female,Psikologi,Psikologi Klinis,"Konseling, Terapi, Kesehatan Mental","Psikotes, Asesmen, SPSS",7.98,Yes,Sertifikasi Psikolog,Yes,Career Counselor,
Vino Pratama,Female,B.Com,Economics,"Finance, Accounting, Business","Tally, MS Excel, Accounting",7.57,No,NA,Yes,Tax Consultant,NA
Qirana Putri,Female,Kelautan,Teknologi Kelautan,"Oseanografi, Penelitian Laut, Ekspedisi","Diving, Survei Laut, GIS, QGIS",8.13,Yes,Remote Sensing Cert,Yes,Marine Surveyor,Magister Ilmu Kelautan
Dita Maharani,Male,BCA,Information Technology,"Programming, Web Development, Software","Python, Java, SQL",9.18,No,NA,No,NA,NA
Tegar Wicaksono,Male,B.Tech,Computer Science,"Software Engineering, Cloud, DevOps","AWS, Docker, Kubernetes, DevOps",7.7,No,NA,No,NA,NA
Nina Kusuma,Male,B.Com,Economics,"Finance, Accounting, Business","MS Excel, PowerPoint, Business Analysis",6.7,Yes,NA,Yes,Tax Consultant,NA
Fitri Handayani,Female,BA,History,"Writing, Communication, Media","Public Speaking, Leadership, Teamwork",6.39,Yes,NA,Yes,Content Writer,MBA HR
Omar Hakim,Male,Desain Komunikasi Visual,Desain Grafis,"Desain Grafis, Branding, Visual","Adobe Illustrator, Photoshop, InDesign",7.56,No,,No,NA,MFA Design
Ivan Gunawan,Male,Psikologi,Psikologi Pendidikan,"Penelitian, Asesmen, Psikometri","Konseling, Wawancara, Empati",7.51,Yes,Konselor Profesional,Yes,Psikolog,NA
Petra Wijaya,Female,Kedokteran,Spesialis Bedah,"Bedah, Operasi, Spesialis","Penelitian, Statistik Medis, SPSS",9.87,Yes,STR Dokter,Yes,Peneliti Medis,NA
Vino Pratama,Female,Farmasi,Farmasi Klinis,"Industri Farmasi, Produksi, QC","QC, QA, GMP, HPLC",9.65,Yes,GMP Certification,No,NA,NA
Oscar Firmansyah,Male,Psikologi,Psikologi Pendidikan,"HR, Rekrutmen, Pengembangan SDM","Konseling, Wawancara, Empati",7.17,No,NA,Yes,,NA
Kevin Surya,Female,Hukum,Hukum Pidana,"Litigasi, Advokasi, Peradilan","Legal Drafting, Analisis Hukum, Riset",7.59,No,,Yes,Pengacara,NA
Omar Hakim,Female,B.Com,Commerce,"Banking, Finance, Economics","Tally, MS Excel, Accounting",6.82,No,NA,Yes,Accountant,NA
Leni Susanti,Female,Pertanian,Agroteknologi,"Pertanian, Budidaya, Agronomi","Drone Pertanian, Smart Farming, IoT",9.25,No,NA,No,NA,Magister Pertanian
Hesti Ratnasari,Male,Teknik Industri,Logistik,"Quality Control, Six Sigma, Kaizen","MS Project, ERP, SAP",7.58,Yes,NA,Yes,Industrial Engineer,Masters in Supply Chain
Fitri Handayani,Male,Peternakan,Nutrisi Ternak,"Nutrisi, Pakan Ternak, Formulasi","Pengolahan Daging, Susu, Telur",6.29,No,NA,Yes,Peternak Profesional,NA
Miko Prasetyo,Female,Manajemen,Manajemen Pemasaran,"Keuangan, Investasi, Bisnis","Financial Planning, Budgeting, Excel",8.63,No,NA,Yes,HR Manager,MM Keuangan
